Step,Device,Power(W)
72,device_Load1,1709.25
72,device_Load2,2570.78
72,device_EV,0.00
72,device_ESS,-0.00
73,device_PV,-0.00
73,device_Load1,1583.11
73,device_Load2,2668.13
73,device_EV,0.00
73,device_ESS,-0.00
74,device_PV,-1129.03
74,device_Load1,1791.56
74,device_Load2,2619.65
74,device_EV,0.00
74,device_ESS,-0.00
75,device_PV,-0.00
75,device_Load1,1739.06
75,device_Load2,2603.43
75,device_EV,0.00
75,device_ESS,-0.00
76,device_PV,-0.00
76,device_Load1,1569.68
76,device_Load2,2661.20
76,device_EV,0.00
76,device_ESS,-0.00
77,device_PV,-1261.49
77,device_Load1,1751.26
77,device_Load2,2641.57
77,device_EV,0.00
77,device_ESS,-0.00
78,device_PV,-0.00
78,device_Load1,1518.27
78,device_Load2,2545.63
78,device_EV,0.00
78,device_ESS,-0.00
79,device_PV,-204.33
79,device_Load1,1517.90
79,device_Load2,2554.79
79,device_EV,0.00
79,device_ESS,-0.00
80,device_PV,-38.51
80,device_Load1,1595.95
80,device_Load2,2591.60
80,device_EV,0.00
80,device_ESS,-0.00
81,device_PV,-992.85
81,device_Load1,1762.85
81,device_Load2,2880.11
81,device_EV,0.00
81,device_ESS,-0.00
82,device_PV,-1071.95
82,device_Load1,1792.17
82,device_Load2,2769.22
82,device_EV,0.00
82,device_ESS,-0.00
83,device_PV,-1417.54
83,device_Load1,1645.70
83,device_Load2,2709.54
83,device_EV,0.00
83,device_ESS,-0.00
84,device_PV,-2980.46
84,device_Load1,1799.90
84,device_Load2,2831.95
84,device_EV,0.00
84,device_ESS,-0.00
85,device_PV,-607.78
85,device_Load1,1764.00
85,device_Load2,2783.72
85,device_EV,0.00
85,device_ESS,-0.00
86,device_PV,-1137.27
86,device_Load1,1898.60
86,device_Load2,2880.41
86,device_EV,0.00
86,device_ESS,-0.00
87,device_PV,-1108.58
87,device_Load1,1713.50
87,device_Load2,2574.33
87,device_EV,0.00
87,device_ESS,-0.00
88,device_PV,-2193.71
88,device_Load1,1754.82
88,device_Load2,2514.55
88,device_EV,0.00
88,device_ESS,-0.00
89,device_PV,-2620.00
89,device_Load1,1766.31
89,device_Load2,2831.92
89,device_EV,0.00
