Step,Device,Power(W)
152,device_PV,-5578.19
152,device_Load1,2469.31
152,device_Load2,5875.19
152,device_EV,5000.00
152,device_ESS,3266.30
153,device_PV,-6285.08
153,device_Load1,2305.43
153,device_Load2,5725.19
153,device_EV,5000.00
153,device_ESS,2245.54
154,device_PV,-6189.84
154,device_Load1,2374.99
154,device_Load2,5531.79
154,device_EV,5000.00
154,device_ESS,2216.95
155,device_PV,-6139.24
155,device_Load1,2505.32
155,device_Load2,5523.88
155,device_EV,5000.00
155,device_ESS,2389.95
156,device_PV,-6507.71
156,device_Load1,2284.91
156,device_Load2,5779.63
156,device_EV,5000.00
156,device_ESS,2056.83
157,device_PV,-5549.18
157,device_Load1,2365.13
157,device_Load2,5872.13
157,device_EV,5000.00
157,device_ESS,3188.09
158,device_PV,-6267.28
158,device_Load1,2435.23
158,device_Load2,5765.56
158,device_EV,5000.00
158,device_ESS,2433.51
159,device_PV,-5699.77
159,device_Load1,2451.70
159,device_Load2,5657.51
159,device_EV,5000.00
159,device_ESS,2909.43
160,device_PV,-5814.61
160,device_Load1,2415.29
160,device_Load2,5530.28
160,device_EV,5000.00
160,device_ESS,2630.96
161,device_PV,-5830.98
161,device_Load1,2481.17
161,device_Load2,5809.04
161,device_EV,5000.00
161,device_ESS,2959.23
162,device_PV,-6141.45
162,device_Load1,2303.45
162,device_Load2,5624.25
162,device_EV,5000.00
162,device_ESS,2286.25
163,device_PV,-5946.87
163,device_Load1,2376.74
163,device_Load2,5607.26
163,device_EV,5000.00
163,device_ESS,2537.13
164,device_PV,-5652.71
164,device_Load1,2396.77
164,device_Load2,5569.09
164,device_EV,5000.00
164,device_ESS,2813.15
165,device_PV,-6128.70
165,device_Load1,2279.66
165,device_Load2,5818.41
165,device_EV,5000.00
165,device_ESS,2469.37
166,device_PV,-5698.64
166,device_Load1,2421.41
166,device_Load2,5689.48
166,device_EV,5000.00
166,device_ESS,2912.25
167,device_PV,-6399.29
167,device_Load1,2331.05
167,device_Load2,5722.08
167,device_EV,5000.00
167,device_ESS,2153.84
168,device_PV,-5344.73
168,device_Load1,2210.95
168,device_Load2,5552.17
168,device_EV,5000.00
168,device_ESS,2918.40
169,device_PV,-5176.40
169,device_Load1,2291.52
169,device_Load2,5834.59
169,device_EV,5000.00
169,device_ESS,3449.71
170,device_PV,-5624.25
170,device_Load1,2368.06
170,device_Load2,5871.64
170,device_EV,5000.00
170,device_ESS,3115.46
171,device_PV,-5299.37
171,device_Load1,2222.62
171,device_Load2,5507.69
171,device_EV,5000.00
171,device_ESS,2930.93
172,device_PV,-5485.42
172,device_Load1,2360.73
172,device_Load2,5888.94
172,device_EV,5000.00
172,device_ESS,3264.24
173,device_PV,-5508.43
173,device_Load1,2450.26
173,device_Load2,5529.03
173,device_EV,5000.00
173,device_ESS,2970.86
174,device_PV,-4954.98
174,device_Load1,2254.60
174,device_Load2,5673.24
174,device_EV,5000.00
174,device_ESS,3472.86
175,device_PV,-5128.91
175,device_Load1,2435.56
175,device_Load2,5565.83
175,device_EV,5000.00
175,device_ESS,3372.48
176,device_PV,-5349.12
176,device_Load1,2384.45
176,device_Load2,5752.94
176,device_EV,5000.00
176,device_ESS,3288.27
177,device_PV,-5231.02
177,device_Load1,2477.35
177,device_Load2,5872.49
177,device_EV,5000.00
177,device_ESS,3618.81
178,device_PV,-5033.96
178,device_Load1,2452.07
178,device_Load2,5611.08
178,device_EV,5000.00
178,device_ESS,3529.19
179,device_PV,-5068.14
179,device_Load1,2469.60
179,device_Load2,5793.45
179,device_EV,5000.00
179,device_ESS,3694.91
180,device_PV,-3501.67
180,device_Load1,2111.16
180,device_Load2,5563.04
180,device_EV,0.00
180,device_ESS,-327.47
181,device_PV,-4937.07
181,device_Load1,2087.18
181,device_Load2,5667.91
181,device_EV,0.00
181,device_ESS,-1681.98
182,device_PV,-4589.13
182,device_Load1,2226.81
182,device_Load2,5569.31
182,device_EV,0.00
182,device_ESS,-1293.00
183,device_PV,-3559.05
183,device_Load1,2275.70
183,device_Load2,5707.24
183,device_EV,0.00
183,device_ESS,-76.12
184,device_PV,-4724.24
184,device_Load1,2323.89
184,device_Load2,5656.46
184,device_EV,0.00
184,device_ESS,-1243.89
185,device_PV,-4707.41
185,device_Load1,2131.43
185,device_Load2,5725.38
185,device_EV,0.00
185,device_ESS,-1350.61
186,device_PV,-4628.51
186,device_Load1,2119.64
186,device_Load2,5843.98
186,device_EV,0.00
186,device_ESS,-1164.88
187,device_PV,-4962.34
187,device_Load1,2152.73
187,device_Load2,5542.82
187,device_EV,0.00
187,device_ESS,-1766.79
188,device_PV,-4693.14
188,device_Load1,2133.36
188,device_Load2,5707.19
188,device_EV,0.00
188,device_ESS,-1352.59
189,device_PV,-4896.94
189,device_Load1,2125.78
189,device_Load2,5811.89
189,device_EV,0.00
189,device_ESS,-1459.26
190,device_PV,-4540.73
190,device_Load1,2201.21
190,device_Load2,5892.83
190,device_EV,0.00
190,device_ESS,-946.69
191,device_PV,-3582.73
191,device_Load1,2126.96
191,device_Load2,5894.91
191,device_EV,0.00
191,device_ESS,-60.87
192,device_PV,-2881.37
192,device_Load1,2112.22
192,device_Load2,5678.01
192,device_EV,0.00
192,device_ESS,408.86
193,device_PV,-3667.47
193,device_Load1,2143.97
193,device_Load2,5574.70
193,device_EV,0.00
193,device_ESS,-448.80
194,device_PV,-3092.75
194,device_Load1,2185.04
194,device_Load2,5626.47
194,device_EV,0.00
194,device_ESS,218.76
195,device_PV,-3223.57
195,device_Load1,2048.71
195,device_Load2,5790.06
195,device_EV,0.00
195,device_ESS,115.20
196,device_PV,-2785.44
196,device_Load1,2097.69
196,device_Load2,5694.29
196,device_EV,0.00
196,device_ESS,506.54
197,device_PV,-2944.69
197,device_Load1,1940.19
197,device_Load2,5751.69
197,device_EV,0.00
197,device_ESS,247.19
198,device_PV,-3746.69
198,device_Load1,1987.78
198,device_Load2,5715.50
198,device_EV,0.00
198,device_ESS,-543.42
199,device_PV,-3031.75
199,device_Load1,1951.42
199,device_Load2,5883.68
199,device_EV,0.00
199,device_ESS,303.36
200,device_PV,-2596.46
200,device_Load1,2190.58
200,device_Load2,5712.32
200,device_EV,0.00
200,device_ESS,806.44
201,device_PV,-3515.91
201,device_Load1,1945.59
201,device_Load2,5600.43
201,device_EV,0.00
201,device_ESS,-469.89
202,device_PV,-2760.82
202,device_Load1,1958.66
202,device_Load2,5661.42
202,device_EV,0.00
202,device_ESS,359.26
203,device_PV,-2440.02
203,device_Load1,2199.32
203,device_Load2,5831.09
203,device_EV,0.00
203,device_ESS,1090.39
204,device_PV,-1318.75
204,device_Load1,1973.39
204,device_Load2,5733.00
204,device_EV,0.00
204,device_ESS,1887.64
205,device_PV,-1612.91
205,device_Load1,1822.41
205,device_Load2,5860.73
205,device_EV,0.00
205,device_ESS,1570.23
206,device_PV,-1809.02
206,device_Load1,1716.86
206,device_Load2,5620.03
206,device_EV,0.00
206,device_ESS,1027.87
207,device_PV,-1405.71
207,device_Load1,1898.37
207,device_Load2,5815.62
207,device_EV,0.00
207,device_ESS,1808.27
208,device_PV,-2046.17
208,device_Load1,1771.24
208,device_Load2,5662.31
208,device_EV,0.00
208,device_ESS,887.38
209,device_PV,-1065.81
209,device_Load1,1792.68
209,device_Load2,5659.57
209,device_EV,0.00
209,device_ESS,1886.44
210,device_PV,-849.88
210,device_Load1,1813.15
210,device_Load2,5677.42
210,device_EV,0.00
210,device_ESS,2140.70
211,device_PV,-871.69
211,device_Load1,1803.91
211,device_Load2,5719.41
211,device_EV,0.00
211,device_ESS,2151.63
212,device_PV,-1608.35
212,device_Load1,1728.38
212,device_Load2,5606.27
212,device_EV,0.00
212,device_ESS,1226.30
213,device_PV,-841.14
213,device_Load1,1808.85
213,device_Load2,5669.58
213,device_EV,0.00
213,device_ESS,2137.28
214,device_PV,-1431.26
214,device_Load1,1890.84
214,device_Load2,5582.70
214,device_EV,0.00
214,device_ESS,1542.28
215,device_PV,-1016.47
215,device_Load1,1784.39
215,device_Load2,5731.91
215,device_EV,0.00
215,device_ESS,1999.83
216,device_PV,-646.49
216,device_Load1,1583.19
216,device_Load2,2641.89
216,device_EV,0.00
216,device_ESS,-921.41
217,device_PV,-554.67
217,device_Load1,1597.21
217,device_Load2,2565.10
217,device_EV,0.00
217,device_ESS,-892.37
218,device_PV,-0.00
218,device_Load1,1697.70
218,device_Load2,2898.79
218,device_EV,0.00
218,device_ESS,96.49
219,device_PV,-0.00
219,device_Load1,1721.43
219,device_Load2,2805.27
219,device_EV,0.00
219,device_ESS,26.70
220,device_PV,-618.59
220,device_Load1,1621.05
220,device_Load2,2872.97
220,device_EV,0.00
220,device_ESS,-624.56
221,device_PV,-0.00
221,device_Load1,1676.86
221,device_Load2,2856.78
221,device_EV,0.00
221,device_ESS,33.64
222,device_PV,-0.00
